t_ms,thrust_raw_N,thrust_filt_N
3645,-6.5747,-6.4988
3657,-6.6578,-6.5306
3668,-6.614,-6.5473
3680,-6.6668,-6.5712
3692,-6.7835,-6.6137
3704,-6.5837,-6.6077
3716,-6.4792,-6.582
3728,-6.477,-6.561
3739,-6.6016,-6.5691
3751,-6.8094,-6.6172
3763,-6.9351,-6.6807
3775,-7.0182,-6.7482
3787,-6.8981,-6.7782
3799,-6.7903,-6.7806
3810,-6.8408,-6.7927
3822,-6.9407,-6.8223
3834,-6.8273,-6.8233
3846,-6.8195,-6.8225
3858,-6.9261,-6.8432
3870,-6.6769,-6.81
3881,-6.3512,-6.7182
3893,-6.66,-6.7066
3905,-6.6903,-6.7033
3917,-6.5533,-6.6733
3929,-6.55,-6.6487
3941,-6.6173,-6.6424
3953,-6.6735,-6.6486
3964,-6.5657,-6.632
3976,-6.5309,-6.6118
3988,-6.5668,-6.6028
4000,-6.5421,-6.5907
4012,-6.6151,-6.5956
4024,-6.6207,-6.6006
4035,-6.7285,-6.6262
4047,-6.7622,-6.6534
4059,-6.8139,-6.6855
4071,-6.8711,-6.7226
4083,-6.5915,-6.6964
4095,-6.4994,-6.657
4106,-6.5859,-6.6428
4118,-6.7027,-6.6548
4130,-6.6072,-6.6453
4142,-6.4669,-6.6096
4154,-6.4983,-6.5873
4166,-6.4321,-6.5563
4177,-6.4006,-6.5251
4189,-6.3669,-6.4935
4201,-6.2591,-6.4466
4213,-6.066,-6.3705
4225,-6.0402,-6.3044
4237,-6.1367,-6.2709
4248,-6.2591,-6.2685
4260,-6.2681,-6.2685
4272,-6.2367,-6.2621
4284,-6.3613,-6.2819
4296,-6.2861,-6.2828
4308,-6.3276,-6.2917
4319,-6.1592,-6.2652
4331,-6.1895,-6.2501
4343,-6.3557,-6.2712
4355,-6.2108,-6.2591
4367,-6.2434,-6.256
4379,-6.1974,-6.2443
4390,-6.103,-6.216
4402,-6.2131,-6.2154
4414,-6.4512,-6.2626
4426,-6.4523,-6.3005
4438,-6.276,-6.2956
4450,-6.1334,-6.2632
4462,-6.039,-6.2183
4473,-6.0739,-6.1894
4485,-6.1536,-6.1823
4497,-6.2569,-6.1972
4509,-6.1918,-6.1961
4521,-6.0727,-6.1714
4533,-6.0357,-6.1443
4544,-5.7729,-6.07
4556,-5.8279,-6.0216
4568,-5.8167,-5.9806
4580,-5.8583,-5.9561
4592,-6.0312,-5.9712
4604,-6.0918,-5.9953
4615,-6.2917,-6.0546
4627,-6.4803,-6.1397
4639,-6.3681,-6.1854
4651,-6.3445,-6.2172
4663,-6.3097,-6.2357
4675,-6.3411,-6.2568
4686,-6.2973,-6.2649
4698,-6.0952,-6.2309
4710,-6.2243,-6.2296
4722,-6.1132,-6.2063
4734,-6.1401,-6.1931
4746,-6.1727,-6.189
4757,-6.3097,-6.2131
4769,-6.3894,-6.2484
4781,-6.304,-6.2595
4793,-6.1233,-6.2323
4805,-6.02,-6.1898
4817,-6.2097,-6.1938
4828,-6.2052,-6.1961
4840,-6.2187,-6.2006
4852,-6.1379,-6.1881
4864,-6.0918,-6.1688
4876,-6.2165,-6.1783
4888,-6.1367,-6.17
4900,-5.9941,-6.1348
4911,-5.9166,-6.0912
4923,-5.9077,-6.0545
4935,-5.8886,-6.0213
4947,-5.9975,-6.0165
4959,-6.2254,-6.0583
4971,-6.1637,-6.0794
4982,-6.1098,-6.0855
4994,-6.1087,-6.0901
5006,-6.1356,-6.0992
5018,-5.9324,-6.0658
5030,-5.7954,-6.0117
5042,-5.9458,-5.9986
5053,-6.0615,-6.0112
5065,-6.1199,-6.0329
5077,-6.0256,-6.0314
5089,-5.8403,-5.9932
5101,-5.9964,-5.9938
5113,-6.1345,-6.022
5124,-6.1614,-6.0499
5136,-6.0548,-6.0508
5148,-6.0413,-6.0489
5160,-6.1109,-6.0613
5172,-6.0346,-6.056
5184,-5.9874,-6.0423
5195,-5.8201,-5.9978
5207,-5.7257,-5.9434
5219,-5.9155,-5.9378
5231,-6.1255,-5.9754
5243,-5.9661,-5.9735
5255,-5.6909,-5.917
5266,-5.6629,-5.8662
5278,-5.9694,-5.8868
5290,-6.3366,-5.9768
5302,-6.3714,-6.0557
5314,-6.2254,-6.0897
5326,-6.2917,-6.1301
5338,-6.3501,-6.1741
5349,-6.2692,-6.1931
5361,-6.3321,-6.2209
5373,-6.6016,-6.2971
5385,-6.4669,-6.331
5397,-6.3613,-6.3371
5409,-6.3591,-6.3415
5420,-6.2726,-6.3277
5432,-6.1929,-6.3007
5444,-6.2457,-6.2897
5456,-6.3501,-6.3018
5468,-6.5051,-6.3424
5480,-6.6499,-6.4039
5491,-6.7487,-6.4729
5503,-6.724,-6.5231
5515,-6.4354,-6.5056
5527,-6.1547,-6.4354
5539,-6.1715,-6.3826
5551,-6.2457,-6.3552
5562,-6.221,-6.3284
5574,-6.2434,-6.3114
5586,-6.2647,-6.3021
5598,-6.3681,-6.3153
5610,-6.395,-6.3312
5622,-6.1648,-6.2979
5633,-6.2962,-6.2976
5645,-6.4702,-6.3321
5657,-6.45,-6.3557
5669,-6.3748,-6.3595
5681,-6.459,-6.3794
5693,-6.5926,-6.4221
5704,-6.7263,-6.4829
5716,-6.6735,-6.521
5728,-6.5814,-6.5331
5740,-6.3748,-6.5014
5752,-6.4242,-6.486
5764,-6.4972,-6.4882
5776,-6.3243,-6.4554
5787,-6.2737,-6.4191
5799,-6.2951,-6.3943
5811,-6.3265,-6.3807
5823,-6.2827,-6.3611
5835,-6.3703,-6.363
5847,-6.4444,-6.3793
5858,-6.2883,-6.3611
5870,-6.3725,-6.3634
5882,-6.4489,-6.3805
5894,-6.4006,-6.3845
5906,-6.3243,-6.3725
5918,-6.3725,-6.3725
5929,-6.3243,-6.3628
5941,-6.3074,-6.3517
5953,-6.4141,-6.3642
5965,-6.2457,-6.3405
5977,-6.185,-6.3094
5989,-6.3445,-6.3164
6000,-6.4905,-6.3512
6012,-6.1603,-6.313
6024,-6.0177,-6.254
6036,-6.0368,-6.2105
6048,-6.2749,-6.2234
6060,-6.2973,-6.2382
6071,-6.2277,-6.2361
6083,-6.5601,-6.3009
6095,-6.6376,-6.3682
6107,-6.3928,-6.3731
6119,-6.468,-6.3921
6131,-6.386,-6.3909
6142,-6.3568,-6.3841
6154,-6.3759,-6.3824
6166,-6.285,-6.3629
6178,-6.3097,-6.3523
6190,-6.1648,-6.3148
6202,-6.2749,-6.3068
6213,-6.221,-6.2896
6225,-5.9211,-6.2159
6237,-6.1805,-6.2089
6249,-6.2019,-6.2075
6261,-6.2917,-6.2243
